api-np.spil.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 3.13.0.0/16
api-perf.xoe.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.230.160.0/22
api-preprod.cxco-chat.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 44.224.0.0/11
api-preprod.sc.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
api-preprod.xoe.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 52.4.0.0/14
api-prodwest.xoe.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.70.0.0/15
api-pseudo.xoe.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.202.0/23
api-qa.mbo.mobile.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 107.21.0.0/18
api-qa.mobile.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 18.232.0.0/14
api-qa.sc.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 3.136.0.0/13
api-qa.xoe.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.226.26.0/23
api-qawest.sc.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 35.80.0.0/12
api-staging.sc.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 18.188.0.0/16
api-staging.xoe.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 54.172.0.0/15
api-stg.mbo.mobile.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 52.2.0.0/15
api-stg.mobile.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 52.2.0.0/15
api-support-dev.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 52.54.0.0/15
api-support-preprod.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.3.112.0/20
api-support-prodtest.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 52.4.0.0/14
api-support-test.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 18.208.0.0/13
api-support.cx.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.58.0.0/15
api-support.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.3.112.0/20
api-test.cxco-chat.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 52.36.0.0/14
api-us-east-1.iotplatform-dev.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 52.54.0.0/15
api-us-east-1.iotplatform-int.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 54.196.0.0/15
api-us-east-1.iotplatform.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 52.86.0.0/15
api.ch2.int.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
api.ch2.prd.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
api.ch2.stg.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
api.cmp.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.64.0/21
api.dhtimeline-integration.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
api.dhtimeline-staging.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
api.dhtimeline.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
api.int.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 68.80.0.0/13
api.iotplatform-dev.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
api.iotplatform-int.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
api.iotplatform-stg.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 18.208.0.0/13
api.mbo.mobile.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 54.198.0.0/16
api.mobile.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 54.198.0.0/16
api.pdc.int.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
api.pdc.prd.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
api.pdc.stg.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
api.sc.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.202.0/23
api.soo.xfn-ops.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.226.26.0/23
api.stg.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 68.80.0.0/13
api.wcdc.int.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 68.80.0.0/13
api.wcdc.prd.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 68.80.0.0/13
api.wcdc.stg.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 68.80.0.0/13
api.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
api.xoe.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
