accts.epicgames.com AS19137 AS19137 - EPSILON INTERACTIVE LLC US 159.127.198.0/24
approval-bot.it-entapps-dev.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 18.232.0.0/14
bpt.dev.epicgames.com AS16509 AS16509 - AMAZON.COM, INC. US 108.156.88.0/21
data-asset-directory-public-service-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
data-asset-directory-public-service-stage.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
datastorage-public-service-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 18.208.0.0/13
dev-portal-rc2.fcfd.live.use1a.on.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.80.0.0/12
dev-rc2.on.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.80.0.0/12
devs.epicgames.com AS19137 AS19137 - EPSILON INTERACTIVE LLC US 159.127.198.0/24
fortnite-public-service-athena-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.2.0.0/15
fortnite-public-service-bacchusplaytest-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 44.192.0.0/11
fortnite-public-service-bluedailymaintesting-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.80.0.0/12
fortnite-public-service-blueextqadevtesting-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
fortnite-public-service-dailyreleaseb-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 18.232.0.0/14
fortnite-public-service-dailyreleasec-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
fortnite-public-service-devplaytestb-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
fortnite-public-service-devplaytestc-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.2.0.0/15
fortnite-public-service-devplaytestd-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.210.0.0/16
fortnite-public-service-devplayteste-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.80.0.0/14
fortnite-public-service-devplaytestf-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.70.0.0/15
fortnite-public-service-devplaytestg-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.84.0.0/15
fortnite-public-service-devplaytesth-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 50.19.0.0/17
fortnite-public-service-devplaytesti-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.0.0.0/15
fortnite-public-service-devplaytestj-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.86.0.0/15
fortnite-public-service-devplaytestk-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
fortnite-public-service-devplaytestl-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
fortnite-public-service-devplaytestm-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.160.0.0/14
fortnite-public-service-devplaytestn-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.164.0.0/15
fortnite-public-service-devplaytestq-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.20.0.0/14
fortnite-public-service-devplaytestr-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
fortnite-public-service-devplaytests-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.236.128.0/17
fortnite-public-service-devplaytestt-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
fortnite-public-service-devplaytestu-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 23.22.0.0/15
fortnite-public-service-devplaytestv-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
fortnite-public-service-devplaytestw-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.242.0.0/15
fortnite-public-service-devplaytestx-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.20.0.0/14
fortnite-public-service-devplaytesty-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 18.208.0.0/13
fortnite-public-service-devplaytestz-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.2.0.0/15
fortnite-public-service-extqareleasetesting-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
fortnite-public-service-extqareleasetestingb-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.236.128.0/17
fortnite-public-service-extqauetesting-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
fortnite-public-service-ioscert-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.200.0.0/13
fortnite-public-service-livetesting-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 44.192.0.0/11
fortnite-public-service-mobilecert-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.224.0.0/15
fortnite-public-service-partners-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
fortnite-public-service-predeploya-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.204.0.0/15
fortnite-public-service-predeployb-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.4.0.0/14
fortnite-public-service-reddailymaintesting-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
fortnite-public-service-redextqadevtesting-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.172.0.0/15
fortnite-public-service-stage.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.156.0.0/14
jira-rest.operations.it.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.44.0.0/15
jira.operations.it.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
jupiter.devtools.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
licensee-mgmt-portal-okta.it.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.224.0.0/15
licensee-mgmt-portal-okta.stage.it.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
links-public-service-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.72.0.0/15
mail.epicgames.com AS19137 AS19137 - EPSILON INTERACTIVE LLC US 159.127.198.0/24
mars-apigw.it-entapps-dev.epicgames.com AS16509 AS16509 - AMAZON.COM, INC. US 108.159.224.0/21
mars-apigw.stage.it.epicgames.com AS16509 AS16509 - AMAZON.COM, INC. US 54.230.160.0/22
merchantpool1.epicgames.com AS8075 AS8075 - MICROSOFT CORPORATION US 40.64.0.0/15
mesh-public-service-livecn.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.4.0.0/14
mesh-public-service-loadtest.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
mesh-public-service-prod.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
mesh-public-service-stage.ol.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 23.22.0.0/15
netbox-test.coreinfra.it.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.4.0.0/14
netbox-test.it.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
netbox.coreinfra.it.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.2.0.0/15
netbox.it.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
playtest-bot.eut.it.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
playtest-bot.it.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 18.208.0.0/13
recap.it.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.84.0.0/15
sda-admin-okta.it-entapps-dev.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 18.208.0.0/13
sda-admin-okta.it.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 107.23.0.0/17
service-bot.it.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 54.156.0.0/14
sonarqube.it-ci.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
sonarqube.it-entapps-dev.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 52.20.0.0/14
status.epicgames.com AS14618 AS14618 - AMAZON.COM, INC. US 18.232.0.0/14
talon-service-prod.ak.epicgames.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 184.29.160.0/19
