-1249852061	microsoft outlook	http://autodiscover.luxuryretreats.com:80/
0	zero byte favicon	http://helpdesk.luxuryretreats.com/
0	zero byte favicon	http://helpdesk.luxuryretreats.com:80/
0	zero byte favicon	https://helpdesk.luxuryretreats.com/
0	zero byte favicon	https://helpdesk.luxuryretreats.com:443/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	http://helpdesk.luxuryretreats.com/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	http://helpdesk.luxuryretreats.com:80/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	https://helpdesk.luxuryretreats.com/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	https://helpdesk.luxuryretreats.com:443/
