-1249852061	microsoft outlook	http://autodiscover.tesla.cn:80/
0	zero byte favicon	http://wechat-stg.tesla.cn:80/
0	zero byte favicon	http://wechat.tesla.cn:80/
0	zero byte favicon	https://wechat-stg.tesla.cn:443/
0	zero byte favicon	https://wechat.tesla.cn:443/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	http://wechat-stg.tesla.cn:80/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	http://wechat.tesla.cn:80/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	https://wechat-stg.tesla.cn:443/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	https://wechat.tesla.cn:443/
