-1249852061	microsoft outlook	http://autodiscover.genesiscapital.com:80/
0	zero byte favicon	http://marketing.genesiscapital.com/
0	zero byte favicon	http://marketing.genesiscapital.com:80/
0	zero byte favicon	https://marketing.genesiscapital.com/
0	zero byte favicon	https://marketing.genesiscapital.com:443/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	http://marketing.genesiscapital.com/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	http://marketing.genesiscapital.com:80/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	https://marketing.genesiscapital.com/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	https://marketing.genesiscapital.com:443/
